CID,Drug Name,Accession,Gene Symbol
9796600,CHEMBL43245,Q9BQB6,VKORC1
10330543,CHEMBL314943,Q9BQB6,VKORC1
44299586,CHEBI:645221,Q9BQB6,VKORC1
173566,delta-N-Methylarginine,Q9BQB6,VKORC1
10411355,CHEMBL233857,Q9BQB6,VKORC1
18785879,CHEMBL7934,Q9BQB6,VKORC1
44396191,CHEMBL361722,Q9BQB6,VKORC1
44430628,CHEMBL395580,Q9BQB6,VKORC1
44319826,CHEMBL315967,Q9BQB6,VKORC1
9837386,CHEMBL292099,Q9BQB6,VKORC1
19049121,CHEMBL363477,Q9BQB6,VKORC1
44329295,CHEBI:646174,Q9BQB6,VKORC1
44302129,CHEBI:645129,Q9BQB6,VKORC1
5142,S-Methylisothiopseudouronium,Q9BQB6,VKORC1
11486109,CHEMBL38762,Q9BQB6,VKORC1
189081,"5,6-Dihydro-4H-1,3-thiazin-2-amine",Q9BQB6,VKORC1
44313352,CHEMBL74679,Q9BQB6,VKORC1
11075828,CHEMBL266226,Q9BQB6,VKORC1
44341212,CHEMBL113438,Q9BQB6,VKORC1
10330544,CID 9859088,Q9BQB6,VKORC1
19049158,CHEMBL365849,Q9BQB6,VKORC1
10375155,CHEMBL315194,Q9BQB6,VKORC1
262484,"5,6-dimethylpyridin-2-amine",Q9BQB6,VKORC1
10439,Aminopyridine,Q9BQB6,VKORC1
21878467,CHEMBL397506,Q9BQB6,VKORC1
11256080,CHEMBL42863,Q9BQB6,VKORC1
15453847,CHEMBL267167,Q9BQB6,VKORC1
11210360,CHEMBL290875,Q9BQB6,VKORC1
15348,2-Amino-5-methylpyridine,Q9BQB6,VKORC1
9920741,CHEMBL292981,Q9BQB6,VKORC1
44302109,CHEMBL61969,Q9BQB6,VKORC1
15287360,CHEMBL61599,Q9BQB6,VKORC1
449021,N-(4-(2-((3-CHLOROPHENYLMETHYL)AMINO)ETHYL)PHENYL)-2-THIOPHECARBOXAMIDINE,Q9BQB6,VKORC1
44347315,CHEBI:651955,Q9BQB6,VKORC1
107984,N(G)-Iminoethylornithine,Q9BQB6,VKORC1
10358114,CHEMBL43815,Q9BQB6,VKORC1
10977064,CHEMBL7931,Q9BQB6,VKORC1
3016310,"3,5-Dimethylpyridin-2-amine",Q9BQB6,VKORC1
9818336,CHEMBL183892,Q9BQB6,VKORC1
9905692,CHEMBL38845,Q9BQB6,VKORC1
11268382,CHEMBL39186,Q9BQB6,VKORC1
44430637,CHEMBL233655,Q9BQB6,VKORC1
11744927,CHEMBL8390,Q9BQB6,VKORC1
18785840,CHEMBL8106,Q9BQB6,VKORC1
44319711,CHEMBL85823,Q9BQB6,VKORC1
18721719,CHEMBL187008,Q9BQB6,VKORC1
11148499,CHEMBL420453,Q9BQB6,VKORC1
44399796,CHEMBL190655,Q9BQB6,VKORC1
12778904,CHEMBL161318,Q9BQB6,VKORC1
11020380,CHEMBL352659,Q9BQB6,VKORC1
10068818,CHEMBL412797,Q9BQB6,VKORC1
44430634,CHEMBL233653,Q9BQB6,VKORC1
42625617,CHEMBL443862,Q9BQB6,VKORC1
9855524,nchembio.115-comp7,Q9BQB6,VKORC1
6436247,Herbimycin,Q9BQB6,VKORC1
123895,N(omega)-hydroxyarginine,Q9BQB6,VKORC1
1649,3-BROMO-7-NITROINDAZOLE,Q9BQB6,VKORC1
8515,Pyrazoleanthrone,Q9BQB6,VKORC1
5288834,"2-METHYL-2,4-PENTANEDIOL",Q9BQB6,VKORC1
10638,Luminol,Q9BQB6,VKORC1
21507,"2-AMINO-4,6-DIMETHYLPYRIDINE",Q9BQB6,VKORC1
9930200,CHEMBL294084,Q9BQB6,VKORC1
9990159,CHEMBL8365,Q9BQB6,VKORC1
1533,Ascensil,Q9BQB6,VKORC1
119418,Curvularin,Q9BQB6,VKORC1
18785878,CHEMBL8292,Q9BQB6,VKORC1
317495,"4-methylpyridine-2,3-diamine",Q9BQB6,VKORC1
18785933,CHEMBL8281,Q9BQB6,VKORC1
3268009,AC1MMWW1,Q9BQB6,VKORC1
11007884,"3,4-dimethyl-2-pyridinamine",Q9BQB6,VKORC1
10197851,CHEMBL294609,Q9BQB6,VKORC1
10445220,CHEMBL7945,Q9BQB6,VKORC1
440005,L-nitroarginine,Q9BQB6,VKORC1
11010340,CHEMBL354788,Q9BQB6,VKORC1
21501,5-Nitroindazole,Q9BQB6,VKORC1
3776,Dimethylcarbinol,Q9BQB6,VKORC1
73742,1-ISOQUINOLINAMINE,Q9BQB6,VKORC1
5288537,5288537,Q9BQB6,VKORC1
44370736,CHEMBL157958,Q9BQB6,VKORC1
44329094,CHEBI:646216,Q9BQB6,VKORC1
667639,Astringinine,Q9BQB6,VKORC1
3463,ApoGemfibrozil,Q9BQB6,VKORC1
60823,Atorvastatin,Q9BQB6,VKORC1
6322,Polyarginine,Q9BQB6,VKORC1
5315459,Bilobetin,Q9BQB6,VKORC1
2162,Amlodipine Benzenesulfonate,Q9BQB6,VKORC1
2214,Acetovanillone,Q9BQB6,VKORC1
24239,6-Nitroisoindazole,Q9BQB6,VKORC1
5311102,Herbimycin,Q9BQB6,VKORC1
1893,7-Nitroisoindazole,Q9BQB6,VKORC1
6439133,Rosuvastatin,Q9BQB6,VKORC1
5318997,Icariin,Q9BQB6,VKORC1
44257,TETRAHYDROBIOPTERIN,Q9BQB6,VKORC1
359,Phloroglucinol,Q9BQB6,VKORC1
54454,SIMVASTATIN,Q9BQB6,VKORC1
1701,Pefabloc,Q9BQB6,VKORC1
1125,tetrahydrobiopterin,Q9BQB6,VKORC1
9750,Citrulline,Q9BQB6,VKORC1
9942188,CHEMBL299677,Q9BQB6,VKORC1
9793827,CHEMBL75304,Q9BQB6,VKORC1
118425,4-Ethylpyridin-2-amine,Q9BQB6,VKORC1
18785825,CHEMBL8272,Q9BQB6,VKORC1
44393463,CHEMBL185581,Q9BQB6,VKORC1
18785805,CHEMBL8105,Q9BQB6,VKORC1
11267277,CHEMBL290476,Q9BQB6,VKORC1
11417668,CHEMBL87186,Q9BQB6,VKORC1
15765,2-Amino-6-methylpyridine,Q9BQB6,VKORC1
44320347,CHEMBL87187,Q9BQB6,VKORC1
11240701,CHEMBL191675,Q9BQB6,VKORC1
10034809,"(1S,2S,6S)-2-methyl-5-azabicyclo[4.3.0]non-4-en-4-amine",Q9BQB6,VKORC1
9843967,CHEMBL40391,Q9BQB6,VKORC1
10452321,CHEMBL233652,Q9BQB6,VKORC1
44313550,CHEMBL74919,Q9BQB6,VKORC1
10013642,CHEMBL274405,Q9BQB6,VKORC1
44319779,CHEMBL315966,Q9BQB6,VKORC1
10898715,4-Methoxy-pyridin-2-ylamine,Q9BQB6,VKORC1
10198539,CHEMBL186431,Q9BQB6,VKORC1
18721724,CHEMBL185833,Q9BQB6,VKORC1
15689,sFtHLPDISNmMP@,Q9BQB6,VKORC1
15347,2-Amino-3-methylpyridine,Q9BQB6,VKORC1
10011896,CHEMBL148951,Q9BQB6,VKORC1
5139,ethylsulfanylmethanimidamide,Q9BQB6,VKORC1
15512781,CHEMBL87544,Q9BQB6,VKORC1
85237,NCGC00024898-01,Q9BQB6,VKORC1
10261068,CHEMBL185584,Q9BQB6,VKORC1
12778908,CHEMBL265672,Q9BQB6,VKORC1
18785787,CHEMBL268521,Q9BQB6,VKORC1
4247236,AC1N76SV,Q9BQB6,VKORC1
132862,Targinine,Q9BQB6,VKORC1
4367,Nitro-L-arginine,Q9BQB6,VKORC1
44313551,CHEMBL75484,Q9BQB6,VKORC1
4366,Tilarginine,Q9BQB6,VKORC1
10313224,"(1S,2S,6S)-2-methyl-5-azabicyclo[4.3.0]non-4-en-4-amine",Q9BQB6,VKORC1
44313353,CHEMBL72316,Q9BQB6,VKORC1
18414528,CHEMBL86810,Q9BQB6,VKORC1
107968,S-Methylthiocitrulline,Q9BQB6,VKORC1
44313256,CHEMBL76342,Q9BQB6,VKORC1
15512769,CHEMBL87529,Q9BQB6,VKORC1
44396203,CHEMBL362772,Q9BQB6,VKORC1
10198326,CHEMBL353794,Q9BQB6,VKORC1
44313364,CHEMBL75428,Q9BQB6,VKORC1
44313509,CHEMBL75905,Q9BQB6,VKORC1
10396852,"5-ethyl-4-methyl-4,5-dihydro-3H-pyrrol-2-amine",Q9BQB6,VKORC1
44313313,CHEMBL75496,Q9BQB6,VKORC1
12404013,CHEMBL293022,Q9BQB6,VKORC1
44393700,CHEMBL185444,Q9BQB6,VKORC1
10214800,CHEMBL364188,Q9BQB6,VKORC1
11446787,CHEMBL60424,Q9BQB6,VKORC1
44299294,CHEBI:645053,Q9BQB6,VKORC1
18721714,CHEMBL361049,Q9BQB6,VKORC1
44393495,CHEMBL185867,Q9BQB6,VKORC1
44393485,CHEMBL360669,Q9BQB6,VKORC1
44294245,CHEMBL48861,Q9BQB6,VKORC1
44302147,CHEBI:650980,Q9BQB6,VKORC1
44299427,CHEBI:645106,Q9BQB6,VKORC1
18983434,CHEMBL361909,Q9BQB6,VKORC1
44328870,CHEBI:646231,Q9BQB6,VKORC1
44299638,CHEBI:645063,Q9BQB6,VKORC1
44320031,CHEMBL83455,Q9BQB6,VKORC1
10948273,CHEMBL100716,Q9BQB6,VKORC1
18785796,CHEMBL275955,Q9BQB6,VKORC1
44370705,CHEMBL155413,Q9BQB6,VKORC1
44329226,CHEBI:646186,Q9BQB6,VKORC1
9819003,CHEMBL319722,Q9BQB6,VKORC1
44320084,CHEMBL313001,Q9BQB6,VKORC1
44383647,CHEBI:648715,Q9BQB6,VKORC1
15453846,CHEMBL269330,Q9BQB6,VKORC1
10749191,CHEMBL329431,Q9BQB6,VKORC1
44430641,CHEMBL234499,Q9BQB6,VKORC1
18721725,CHEMBL185919,Q9BQB6,VKORC1
19049061,CHEMBL184798,Q9BQB6,VKORC1
44329129,CHEBI:651864,Q9BQB6,VKORC1
44377152,CHEMBL354230,Q9BQB6,VKORC1
44393534,CHEMBL361419,Q9BQB6,VKORC1
15463449,CHEMBL186969,Q9BQB6,VKORC1
44396192,CHEMBL186360,Q9BQB6,VKORC1
12709336,CHEMBL320850,Q9BQB6,VKORC1
9991876,CHEMBL268403,Q9BQB6,VKORC1
44299600,CHEBI:645045,Q9BQB6,VKORC1
44329069,CHEBI:646234,Q9BQB6,VKORC1
44328898,CHEBI:646219,Q9BQB6,VKORC1
10488346,CHEMBL268312,Q9BQB6,VKORC1
44347208,CHEBI:646939,Q9BQB6,VKORC1
17958630,CHEMBL185766,Q9BQB6,VKORC1
19049123,CHEMBL186142,Q9BQB6,VKORC1
44322572,CHEMBL314727,Q9BQB6,VKORC1
544920,"5-Methyl-4,5-dihydro-1,3-thiazol-2-amine",Q9BQB6,VKORC1
13196077,CHEMBL183268,Q9BQB6,VKORC1
708870,5-Chloro-2-mercaptobenzoxazole,Q9BQB6,VKORC1
44393481,CHEMBL185600,Q9BQB6,VKORC1
211124,BRN 0472717,Q9BQB6,VKORC1
11149707,Ethyl 4-[(4-methylpyridin-2-yl)amino]piperidine-1-carboxylate,Q9BQB6,VKORC1
287208,"2-benzoxazolol, 5-fluoro-",Q9BQB6,VKORC1
9812839,CHEMBL363049,Q9BQB6,VKORC1
18721729,CHEMBL188073,Q9BQB6,VKORC1
15463450,CHEMBL186985,Q9BQB6,VKORC1
44329820,CHEMBL97163,Q9BQB6,VKORC1
322634,NSC280712,Q9BQB6,VKORC1
10103217,CHEMBL292690,Q9BQB6,VKORC1
12969094,CHEMBL319485,Q9BQB6,VKORC1
44299576,CHEBI:644953,Q9BQB6,VKORC1
2146,Hydrazinecarboximidamide,Q9BQB6,VKORC1
10656792,CHEMBL6875,Q9BQB6,VKORC1
11426929,CHEMBL112747,Q9BQB6,VKORC1
44370690,CHEMBL157846,Q9BQB6,VKORC1
18785788,CHEMBL7946,Q9BQB6,VKORC1
11034111,CHEMBL174290,Q9BQB6,VKORC1
44370689,CHEMBL158297,Q9BQB6,VKORC1
44370661,CHEMBL157190,Q9BQB6,VKORC1
12449028,CHEMBL266980,Q9BQB6,VKORC1
44370730,CHEMBL351787,Q9BQB6,VKORC1
292255,NSC157920,Q9BQB6,VKORC1
11098403,CHEMBL170176,Q9BQB6,VKORC1
44370662,CHEMBL157074,Q9BQB6,VKORC1
22133392,CHEMBL127739,Q9BQB6,VKORC1
11357119,CHEMBL112247,Q9BQB6,VKORC1
2778315,2-Amino-4-(trifluoromethyl)pyridine,Q9BQB6,VKORC1
9886249,nchembio.115-comp3,Q9BQB6,VKORC1
11369870,CHEMBL112198,Q9BQB6,VKORC1
9797857,4-[4-[(4-Methoxypyridin-2-yl)amino]piperidine-1-carbonyl]benzonitrile,Q9BQB6,VKORC1
10655660,CHEMBL6657,Q9BQB6,VKORC1
44370704,CHEMBL155318,Q9BQB6,VKORC1
12109769,CHEMBL155316,Q9BQB6,VKORC1
10104379,CHEMBL89288,Q9BQB6,VKORC1
44277776,CHEBI:643936,Q9BQB6,VKORC1
