DrugBank ID,Name,Drug group,Pharmacological action?,Actions,Accession,Details,PUBCHEM ID
DB01197,Captopril,approved,yes,inhibitor,P12821,Details,44093
DB00584,Enalapril,"approved, vet_approved",yes,inhibitor,P12821,Details,5388962
DB00722,Lisinopril,"approved, investigational",yes,inhibitor,P12821,Details,5362119
DB00691,Moexipril,approved,yes,inhibitor,P12821,Details,91270
DB00881,Quinapril,"approved, investigational",yes,inhibitor,P12821,Details,54892
DB00178,Ramipril,approved,yes,inhibitor,P12821,Details,5362129
DB00519,Trandolapril,approved,yes,inhibitor,P12821,Details,5484727
DB00886,Omapatrilat,investigational,unknown,,P12821,Details,656629
DB01348,Spirapril,approved,yes,inhibitor,P12821,Details,5311447
DB01340,Cilazapril,approved,yes,inhibitor,P12821,Details,56330
DB00616,Candoxatril,experimental,unknown,inhibitor,P12821,Details,5362417
DB08836,Temocapril,"experimental, investigational",unknown,inhibitor,P12821,Details,443874
DB09477,Enalaprilat,approved,yes,inhibitor,P12821,Details,5462501
DB13166,Zofenopril,approved,yes,inhibitor,P12821,Details,92400
DB15565,Cilazaprilat,experimental,yes,,P12821,Details,64766
DB04933,Eritoran,investigational,unknown,,O00206,Details,6912404
DB05475,Golotimod,investigational,unknown,,O00206,Details,6992140
DB06447,E5531,investigational,unknown,,O00206,Details,6442269
DB03017,Lauric acid,"approved, experimental",unknown,,O00206,Details,3893
DB02767,(R)-3-hydroxytetradecanoic acid,experimental,unknown,,O00206,Details,5288266
DB08231,Myristic acid,experimental,unknown,,O00206,Details,11005
DB01183,Naloxone,"approved, vet_approved",unknown,inhibitor,O00206,Details,5284596
DB13615,Mifamurtide,"approved, experimental",yes,ligand,O00206,Details,123133557
DB00924,Cyclobenzaprine,approved,unknown,inhibitor,O00206,Details,2895
DB04513,N-(6-Aminohexyl)-5-Chloro-1-Naphthalenesulfonamide,experimental,unknown,,P19429,Details,5681
DB01017,Minocycline,"approved, investigational",unknown,modulator,P01584,Details,54675783
DB05412,Talmapimod,investigational,unknown,,P01584,Details,9871074
DB05442,Etiprednol dicloacetate,investigational,unknown,,P01584,Details,9935073
DB05470,VX-702,investigational,unknown,,P01584,Details,10341154
DB05767,Andrographolide,investigational,unknown,,P01584,Details,5318517
DB11967,Binimetinib,"approved, investigational",unknown,,P01584,Details,10288191
DB05260,Gallium nitrate,"approved, investigational",yes,antagonist,P01584,Details,61635
DB12140,Dilmapimod,investigational,unknown,,P01584,Details,10297982
DB00843,Donepezil,approved,unknown,inhibitorinducer,P01584,Details,3152
DB01136,Carvedilol,"approved, investigational",unknown,other,P16860,Details,2585
DB06412,Oxymetholone,"approved, illicit",unknown,,P16860,Details,5281034
DB07207,2-(4-HYDROXY-5-PHENYL-1H-PYRAZOL-3-YL)-1H-BENZOIMIDAZOLE-5-CARBOXAMIDINE,experimental,unknown,,P13726,Details,135403661
DB07247,"[2'-HYDROXY-3'-(1H-PYRROLO[3,2-C]PYRIDIN-2-YL)-BIPHENYL-3-YLMETHYL]-UREA",experimental,unknown,,P13726,Details,15942655
DB08232,"[5-(5-Amino-1H-pyrrolo[3,2-b]pyridin-2-yl)-6-hydroxy-3'-nitro-3-biphenylyl]acetic acid",experimental,unknown,,P13726,Details,135431470
DB01055,Mimosine,experimental,yes,inhibitor,P13500,Details,440473
DB01406,Danazol,approved,unknown,inhibitor,P13500,Details,28417
DB04487,N-Methylleucine,experimental,unknown,,P02778,Details,6951123
DB00317,Gefitinib,"approved, investigational",yes,antagonist,P00533,Details,123631
DB00530,Erlotinib,"approved, investigational",yes,antagonist,P00533,Details,176870
DB01259,Lapatinib,"approved, investigational",yes,antagonist,P00533,Details,208908
DB00281,Lidocaine,"approved, vet_approved",unknown,antagonist,P00533,Details,3676
DB03496,Alvocidib,"experimental, investigational",unknown,,P00533,Details,5287969
DB05294,Vandetanib,approved,unknown,inhibitor,P00533,Details,3081361
DB05424,Canertinib,investigational,unknown,,P00533,Details,156414
DB05944,Varlitinib,investigational,unknown,,P00533,Details,42642648
DB06021,AV-412,investigational,unknown,,P00533,Details,11700696
DB05524,Pelitinib,investigational,unknown,,P00533,Details,6445562
DB07602,S-{3-[(4-ANILINOQUINAZOLIN-6-YL)AMINO]-3-OXOPROPYL}-L-CYSTEINE,experimental,unknown,,P00533,Details,46937083
DB07662,PD-168393,experimental,unknown,,P00533,Details,4708
DB08916,Afatinib,approved,yes,inhibitor,P00533,Details,10184653
DB09330,Osimertinib,approved,yes,inhibitor,P00533,Details,71496458
DB11737,Icotinib,"experimental, investigational",unknown,antagonist,P00533,Details,22024915
DB13164,Olmutinib,investigational,yes,inhibitor,P00533,Details,54758501
DB11828,Neratinib,"approved, investigational",yes,inhibitor,P00533,Details,9915743
DB12267,Brigatinib,"approved, investigational",yes,inhibitor,P00533,Details,68165256
DB12010,Fostamatinib,"approved, investigational",unknown,inhibitor,P00533,Details,11671467
DB11963,Dacomitinib,"approved, investigational",yes,inhibitor,P00533,Details,11511120
DB15035,Zanubrutinib,"approved, investigational",unknown,inhibitor,P00533,Details,135565884
DB15327,Abivertinib,investigational,yes,inhibitor,P00533,Details,72734520
DB02379,Beta-D-Glucose,experimental,unknown,,P01574,Details,64689
DB04716,"2-tert-butyl-9-fluoro-1,6-dihydrobenzo[h]imidazo[4,5-f]isoquinolin-7-one",experimental,unknown,,P23458,Details,5494425
DB08877,Ruxolitinib,approved,yes,inhibitor,P23458,Details,25126798
DB08895,Tofacitinib,"approved, investigational",yes,inhibitor,P23458,Details,9926791
DB02375,Myricetin,experimental,unknown,,P23458,Details,5281672
DB11817,Baricitinib,"approved, investigational",yes,inhibitor,P23458,Details,44205240
DB12010,Fostamatinib,"approved, investigational",unknown,inhibitor,P23458,Details,11671467
DB12500,Fedratinib,"approved, investigational",no,inhibitor,P23458,Details,16722836
DB15091,Upadacitinib,"approved, investigational",yes,inhibitor,P23458,Details,58557659
DB14845,Filgotinib,"approved, investigational",yes,inhibitor,P23458,Details,49831257
DB06943,(3S)-1-{[4-(but-2-yn-1-yloxy)phenyl]sulfonyl}pyrrolidine-3-thiol,experimental,unknown,,P78536,Details,9861547
DB07079,3-{[4-(but-2-yn-1-yloxy)phenyl]sulfonyl}propane-1-thiol,experimental,unknown,,P78536,Details,23627203
DB07121,"4-({4-[(4-AMINOBUT-2-YNYL)OXY]PHENYL}SULFONYL)-N-HYDROXY-2,2-DIMETHYLTHIOMORPHOLINE-3-CARBOXAMIDE",experimental,unknown,,P78536,Details,6102708
DB07145,(2R)-N-HYDROXY-2-[(3S)-3-METHYL-3-{4-[(2-METHYLQUINOLIN-4-YL)METHOXY]PHENYL}-2-OXOPYRROLIDIN-1-YL]PROPANAMIDE,experimental,unknown,,P78536,Details,6914621
DB07147,"methyl (1R,2S)-2-(hydroxycarbamoyl)-1-{4-[(2-methylquinolin-4-yl)methoxy]benzyl}cyclopropanecarboxylate",experimental,unknown,,P78536,Details,24800833
DB07189,"(1S,3R,6S)-4-oxo-6-{4-[(2-phenylquinolin-4-yl)methoxy]phenyl}-5-azaspiro[2.4]heptane-1-carboxylic acid",experimental,unknown,,P78536,Details,25049750
DB07233,N-{[4-(but-2-yn-1-yloxy)phenyl]sulfonyl}-5-methyl-D-tryptophan,experimental,unknown,,P78536,Details,42627769
DB07964,"(3S)-4-{[4-(BUT-2-YNYLOXY)PHENYL]SULFONYL}-N-HYDROXY-2,2-DIMETHYLTHIOMORPHOLINE-3-CARBOXAMIDE",experimental,unknown,,P78536,Details,5288615
DB05434,ABT-510,investigational,unknown,,P10145,Details,6918562
DB05855,Rivanicline,investigational,unknown,antagonist,P10145,Details,5310967
DB06083,Tapinarof,investigational,unknown,,P10145,Details,6439522
DB01776,M-Cresol,experimental,unknown,,P01308,Details,342
DB08231,Myristic acid,experimental,unknown,,P01308,Details,11005
DB01593,Zinc,"approved, investigational",unknown,,P01308,Details,23994
DB14487,Zinc acetate,"approved, investigational",unknown,,P01308,Details,11192
DB14533,Zinc chloride,"approved, investigational",unknown,stabilization,P01308,Details,3007855
DB03945,"N,N,N-Trimethyl-2-(phosphonooxy)ethanaminium",experimental,unknown,,P02741,Details,1014
DB02196,Uridine-Diphosphate-N-Acetylgalactosamine,experimental,unknown,,P16442,Details,23700
DB03435,Uridine-5'-Diphosphate,experimental,unknown,,P16442,Details,6031
DB03501,Galactose-uridine-5'-diphosphate,experimental,unknown,,P16442,Details,18068
DB03772,"2-Hexyloxy-6-Hydroxymethyl-Tetrahydro-Pyran-3,5-Diol",experimental,unknown,,P16442,Details,448294
DB04141,"2-Hexyloxy-6-Hydroxymethyl-Tetrahydro-Pyran-3,4,5-Triol",experimental,unknown,,P16442,Details,447027
DB04678,H TYPE II TRISACCHARIDE,experimental,unknown,,P16442,Details,5288910
DB04679,Human blood group H type 1 trisaccharide,experimental,unknown,,P16442,Details,5326971
DB04680,GALACTOSE GREASE,experimental,unknown,,P16442,Details,5326972
DB04681,BETA-METHYLLACTOSIDE,experimental,unknown,,P16442,Details,121942
DB07341,"octyl 3-amino-3-deoxy-2-O-(2,6-dideoxy-alpha-L-lyxo-hexopyranosyl)-beta-D-galactopyranoside",experimental,unknown,,P16442,Details,46937064
DB07357,"4-AMINO-2-HEXYLOXY-6-HYDROXYMETHYL-TETRAHYDRO-PYRAN-3,5-DIOL",experimental,unknown,,P16442,Details,448295
DB07378,"4-AMINO-2-OCTYLOXY-6-HYDROXYMETHYL-TETRAHYDRO-PYRAN-3,5-DIOL",experimental,unknown,,P16442,Details,448297
DB07633,octyl 3-deoxy-2-O-(6-deoxy-alpha-L-galactopyranosyl)-beta-D-xylo-hexopyranoside,experimental,unknown,,P16442,Details,46937084
DB06152,Nylidrin,approved,yes,agonist,P48551,Details,4567
DB03507,"6-[3-(4-Morpholinyl)Propyl]-2-(3-Nitrophenyl)-5-Thioxo-5,6,-Dihydro-7h-Thienol[2',3':4,5]Pyrrolo[1,2-C]Imidazol-7-One",experimental,unknown,,P19438,Details,4470566
DB02930,Adenosine 5'-[gamma-thio]triphosphate,experimental,unknown,,P54278,Details,440317
DB00122,Choline,"approved, nutraceutical",unknown,substrate,P28329,Details,305
DB00184,Nicotine,approved,unknown,inhibitor,P28329,Details,89594
DB14006,Choline salicylate,"approved, nutraceutical",unknown,substrate,P28329,Details,54686350
DB03600,Capric acid,experimental,unknown,,P09958,Details,2969
DB11090,Potassium nitrate,approved,unknown,substrate,P15941,Details,24434
DB12010,Fostamatinib,"approved, investigational",unknown,inhibitor,Q9UHD2,Details,11671467
DB15250,Vercirnon,investigational,unknown,,P51686,Details,10343454
DB04464,N-Formylmethionine,experimental,unknown,,P01889,Details,439750
DB03661,L-cysteic acid,experimental,unknown,,P07711,Details,72886
DB07477,Felbinac,experimental,unknown,,P07711,Details,3332
DB12010,Fostamatinib,"approved, investigational",unknown,inhibitor,P07711,Details,11671467
DB01998,"2-[3,4-Dihydroxy-2-Hydroxymethyl-5-(2-Hydroxy-Nonyl)-Tetrahydro-Furan-2-Yloxy]-6-Hydroxymethyl-Tetra Hydro-Pyran-3,4,5-Triol",experimental,unknown,,P01009,Details,17754184
DB03345,Mercaptoethanol,experimental,unknown,,P01009,Details,1567
DB05961,PPL-100,investigational,unknown,,P01009,Details,513956
DB09130,Copper,"approved, investigational",unknown,,P01009,Details,23978
DB01593,Zinc,"approved, investigational",unknown,,P01009,Details,23994
DB14007,Pentetic acid,approved,no,substrate,P01009,Details,3053
DB14487,Zinc acetate,"approved, investigational",unknown,,P01009,Details,11192
DB14533,Zinc chloride,"approved, investigational",unknown,ligand,P01009,Details,3007855
DB00080,Daptomycin,"approved, investigational",no,binder,P01009,Details,21585658
DB00724,Imiquimod,"approved, investigational",yes,agonist,Q9NYK1,Details,57469
DB04860,Isatoribine,investigational,unknown,,Q9NYK1,Details,135409474
DB05475,Golotimod,investigational,unknown,,Q9NYK1,Details,6992140
DB06530,Resiquimod,investigational,unknown,,Q9NYK1,Details,159603
DB01611,Hydroxychloroquine,approved,yes,antagonist,Q9NYK1,Details,3652
DB00157,NADH,"approved, nutraceutical",unknown,,P09601,Details,439153
DB01942,Formic acid,"experimental, investigational",unknown,,P09601,Details,284
DB02073,Biliverdine IX Alpha,experimental,unknown,,P09601,Details,5280353
DB02468,12-Phenylheme,experimental,unknown,,P09601,Details,131704203
DB03906,2-Phenylheme,experimental,unknown,,P09601,Details,17753777
DB04912,Stannsoporfin,investigational,unknown,,P09601,Details,15978579
DB04803,Verdoheme,experimental,unknown,,P09601,Details,131704289
DB06914,"1-({2-[2-(4-CHLOROPHENYL)ETHYL]-1,3-DIOXOLAN-2-YL}METHYL)-1H-IMIDAZOLE",experimental,unknown,,P09601,Details,11500273
DB07342,1-(adamantan-1-yl)-2-(1H-imidazol-1-yl)ethanone,experimental,unknown,,P09601,Details,20541332
DB00163,Vitamin E,"approved, nutraceutical, vet_approved",unknown,inducer,P09601,Details,14985
DB09221,Polaprezinc,experimental,unknown,inducer,P09601,Details,51051629
DB14001,alpha-Tocopherol succinate,"approved, nutraceutical, vet_approved",unknown,inducer,P09601,Details,20353
DB14002,D-alpha-Tocopherol acetate,"approved, nutraceutical, vet_approved",unknown,inducer,P09601,Details,86472
DB12548,Sparsentan,investigational,unknown,,P01019,Details,10257882
DB09130,Copper,"approved, investigational",unknown,,P01019,Details,23978
DB01593,Zinc,"approved, investigational",unknown,,P01019,Details,23994
DB14487,Zinc acetate,"approved, investigational",unknown,,P01019,Details,11192
DB00201,Caffeine,approved,unknown,inhibitor,P46094,Details,2519
DB01296,Glucosamine,"approved, investigational",unknown,inhibitor,P01579,Details,439213
DB01250,Olsalazine,approved,yes,,P01579,Details,22419
DB02987,Cysteine-S-acetamide,experimental,unknown,,P00973,Details,17754220
DB12010,Fostamatinib,"approved, investigational",unknown,inhibitor,Q2M2I8,Details,11671467
DB00137,Lutein,"approved, investigational, nutraceutical",unknown,,P02768,Details,5281243
DB00459,Acitretin,approved,unknown,,P02768,Details,5284513
DB00576,Sulfamethizole,"approved, investigational, vet_approved",unknown,,P02768,Details,5328
DB00743,Gadobenic acid,"approved, investigational",unknown,binder,P02768,Details,131704172
DB00815,Sodium lauryl sulfate,experimental,unknown,binder,P02768,Details,3423265
DB00936,Salicylic acid,"approved, investigational, vet_approved",no,other/unknown,P02768,Details,338
DB00946,Phenprocoumon,"approved, investigational",no,,P02768,Details,54680692
DB00995,Auranofin,"approved, investigational",unknown,,P02768,Details,70788951
DB01120,Gliclazide,approved,unknown,,P02768,Details,3475
DB01328,Cefonicid,"approved, investigational",no,other/unknown,P02768,Details,43594
DB01329,Cefoperazone,"approved, investigational",no,other/unknown,P02768,Details,44187
DB01396,Digitoxin,"approved, investigational",no,,P02768,Details,441207
DB03017,Lauric acid,"approved, experimental",unknown,,P02768,Details,3893
DB03193,Stearic acid,"approved, experimental",unknown,,P02768,Details,5281
DB03600,Capric acid,experimental,no,,P02768,Details,2969
DB03796,Palmitic Acid,approved,unknown,,P02768,Details,985
DB04224,Oleic Acid,"approved, investigational, vet_approved",unknown,,P02768,Details,637517
DB04557,Arachidonic Acid,experimental,no,,P02768,Details,444899
DB04711,Iodipamide,approved,unknown,binder,P02768,Details,3739
DB06412,Oxymetholone,"approved, illicit",unknown,,P02768,Details,5281034
DB01197,Captopril,approved,no,other/unknown,P02768,Details,44093
DB01050,Ibuprofen,approved,no,binder,P02768,Details,3672
DB00563,Methotrexate,approved,no,binder,P02768,Details,126941
DB00451,Levothyroxine,approved,no,,P02768,Details,5819
DB00279,Liothyronine,"approved, vet_approved",unknown,,P02768,Details,5920
DB00605,Sulindac,"approved, investigational",unknown,,P02768,Details,1548887
DB00749,Etodolac,"approved, investigational, vet_approved",unknown,,P02768,Details,3308
DB00861,Diflunisal,"approved, investigational",unknown,,P02768,Details,3059
DB01009,Ketoprofen,"approved, vet_approved",unknown,,P02768,Details,3825
DB00586,Diclofenac,"approved, vet_approved",unknown,,P02768,Details,3033
DB00783,Estradiol,"approved, investigational, vet_approved",no,,P02768,Details,5757
DB00655,Estrone,approved,no,,P02768,Details,5870
DB00624,Testosterone,"approved, investigational",no,binder,P02768,Details,6013
DB01418,Acenocoumarol,"approved, investigational",no,,P02768,Details,54676537
DB00802,Alfentanil,"approved, illicit",unknown,,P02768,Details,51263
DB00818,Propofol,"approved, investigational, vet_approved",no,,P02768,Details,4943
DB00228,Enflurane,"approved, investigational, vet_approved",unknown,binder,P02768,Details,3226
DB00753,Isoflurane,"approved, vet_approved",unknown,,P02768,Details,3763
DB01189,Desflurane,approved,unknown,binder,P02768,Details,42113
DB01159,Halothane,"approved, vet_approved",unknown,,P02768,Details,3562
DB01236,Sevoflurane,"approved, vet_approved",unknown,,P02768,Details,5206
DB00252,Phenytoin,"approved, vet_approved",unknown,,P02768,Details,1775
DB00477,Chlorpromazine,"approved, investigational, vet_approved",unknown,,P02768,Details,2726
DB00540,Nortriptyline,approved,no,binder,P02768,Details,4543
DB00321,Amitriptyline,approved,no,binder,P02768,Details,2160
DB00903,Etacrynic acid,"approved, investigational",unknown,,P02768,Details,3278
DB00695,Furosemide,"approved, vet_approved",no,binder,P02768,Details,3440
DB00829,Diazepam,"approved, illicit, investigational, vet_approved",no,,P02768,Details,3016
DB00682,Warfarin,approved,no,,P02768,Details,54678486
DB00554,Piroxicam,"approved, investigational",unknown,,P02768,Details,54676228
DB00573,Fenoprofen,approved,unknown,,P02768,Details,3342
DB00328,Indomethacin,"approved, investigational",unknown,,P02768,Details,3715
DB03585,Oxyphenbutazone,"approved, withdrawn",unknown,,P02768,Details,4641
DB00544,Fluorouracil,approved,no,,P02768,Details,3385
DB01232,Saquinavir,"approved, investigational",unknown,,P02768,Details,441243
DB01032,Probenecid,"approved, investigational",no,,P02768,Details,4911
DB01044,Gatifloxacin,"approved, investigational",unknown,other/unknown,P02768,Details,5379
DB01068,Clonazepam,"approved, illicit",no,,P02768,Details,2802
DB01147,Cloxacillin,"approved, investigational, vet_approved",no,binder,P02768,Details,6098
DB01327,Cefazolin,approved,unknown,other/unknown,P02768,Details,33255
DB00931,Metacycline,"approved, investigational",no,,P02768,Details,54675785
DB01015,Sulfamethoxazole,approved,no,substrate,P02768,Details,5329
DB00415,Ampicillin,"approved, vet_approved",no,other/unknown,P02768,Details,6249
DB00567,Cephalexin,"approved, investigational, vet_approved",no,other/unknown,P02768,Details,27447
DB00759,Tetracycline,"approved, vet_approved",no,,P02768,Details,54675776
DB01212,Ceftriaxone,approved,no,other/unknown,P02768,Details,5479530
DB01330,Cefotetan,approved,no,,P02768,Details,53025
DB00274,Cefmetazole,"approved, investigational",no,,P02768,Details,42008
DB00495,Zidovudine,approved,no,,P02768,Details,35370
DB01397,Magnesium salicylate,experimental,no,,P02768,Details,54684589
DB00788,Naproxen,"approved, vet_approved",no,,P02768,Details,156391
DB00334,Olanzapine,"approved, investigational",no,binder,P02768,Details,135398745
DB01056,Tocainide,approved,no,other/unknown,P02768,Details,38945
DB01320,Fosphenytoin,"approved, investigational",no,other/unknown,P02768,Details,56339
DB00712,Flurbiprofen,"approved, investigational",no,other/unknown,P02768,Details,3394
DB07402,Azapropazone,withdrawn,unknown,,P02768,Details,46937068
DB07517,3-CARBOXY-4-METHYL-5-PROPYL-2-FURANPROPIONIC,experimental,unknown,,P02768,Details,123979
DB07992,Indoxyl sulfate,experimental,unknown,,P02768,Details,10258
DB08231,Myristic acid,experimental,unknown,,P02768,Details,11005
DB08496,(R)-warfarin,experimental,unknown,,P02768,Details,54684598
DB08735,"R,S-Warfarin alcohol",experimental,unknown,,P02768,Details,54736486
DB08736,"S,R-Warfarin alcohol",experimental,unknown,,P02768,Details,54703052
DB00430,Cefpiramide,approved,unknown,,P02768,Details,636405
DB01583,Liotrix,approved,unknown,,P02768,Details,71371
DB01294,Bismuth subsalicylate,"approved, vet_approved",no,binder,P02768,Details,16682734
DB00456,Cefalotin,"approved, investigational, vet_approved",unknown,binder,P02768,Details,6024
DB01581,Sulfamerazine,"approved, vet_approved",unknown,,P02768,Details,5325
DB01582,Sulfamethazine,"approved, investigational, vet_approved",unknown,,P02768,Details,5327
DB01587,Ketazolam,approved,unknown,,P02768,Details,33746
DB01614,Acepromazine,"experimental, vet_approved",unknown,,P02768,Details,6077
DB01621,Pipotiazine,"approved, investigational",unknown,,P02768,Details,62867
DB04574,Estrone sulfate,approved,unknown,,P02768,Details,3001028
DB06710,Methyltestosterone,approved,unknown,,P02768,Details,6010
DB01622,Thioproperazine,experimental,unknown,,P02768,Details,9429
DB01623,Thiothixene,approved,unknown,,P02768,Details,941651
DB06705,Gadofosveset trisodium,approved,unknown,substrate,P02768,Details,73049652
DB00454,Meperidine,approved,unknown,,P02768,Details,4058
DB01016,Glyburide,approved,unknown,binder,P02768,Details,3488
DB00912,Repaglinide,"approved, investigational",unknown,,P02768,Details,65981
DB00731,Nateglinide,"approved, investigational",unknown,,P02768,Details,5311309
DB08867,Ulipristal,approved,no,substrate,P02768,Details,13559281
DB05294,Vandetanib,approved,unknown,binder,P02768,Details,3081361
DB05521,Telaprevir,"approved, withdrawn",no,substrate,P02768,Details,3010818
DB05812,Abiraterone,approved,unknown,binder,P02768,Details,132971
DB08881,Vemurafenib,approved,unknown,substrate,P02768,Details,42611257
DB08828,Vismodegib,"approved, investigational",unknown,substrate,P02768,Details,24776445
DB08893,Mirabegron,approved,no,binder,P02768,Details,9865528
DB00635,Prednisone,"approved, vet_approved",unknown,substrate,P02768,Details,5865
DB08899,Enzalutamide,approved,unknown,substrate,P02768,Details,15951529
DB08820,Ivacaftor,approved,no,carrier,P02768,Details,16220172
DB00776,Oxcarbazepine,approved,unknown,substrate,P02768,Details,34312
DB06201,Rufinamide,approved,unknown,substrate,P02768,Details,129228
DB06716,Fospropofol,"approved, illicit, investigational",unknown,substrate,P02768,Details,3038498
DB04855,Dronedarone,approved,no,binder,P02768,Details,208898
DB06209,Prasugrel,approved,unknown,substrate,P02768,Details,6918456
DB08860,Pitavastatin,approved,unknown,substrate,P02768,Details,5282452
DB01183,Naloxone,"approved, vet_approved",unknown,binder,P02768,Details,5284596
DB01242,Clomipramine,"approved, investigational, vet_approved",unknown,substrate,P02768,Details,2801
DB00530,Erlotinib,"approved, investigational",unknown,substrate,P02768,Details,176870
DB00472,Fluoxetine,"approved, vet_approved",unknown,substrate,P02768,Details,3386
DB00317,Gefitinib,"approved, investigational",unknown,substrate,P02768,Details,123631
DB00619,Imatinib,approved,unknown,substrate,P02768,Details,5291
DB00762,Irinotecan,"approved, investigational",unknown,substrate,P02768,Details,60838
DB00678,Losartan,approved,unknown,substrate,P02768,Details,3961
DB00412,Rosiglitazone,"approved, investigational",unknown,substrate,P02768,Details,77999
DB01098,Rosuvastatin,approved,unknown,substrate,P02768,Details,446157
DB00864,Tacrolimus,"approved, investigational",unknown,substrate,P02768,Details,445643
DB00717,Norethisterone,approved,unknown,substrate,P02768,Details,6230
DB08931,Riociguat,approved,unknown,substrate,P02768,Details,11304743
DB08895,Tofacitinib,"approved, investigational",unknown,,P02768,Details,9926791
DB08932,Macitentan,approved,no,binder,P02768,Details,16004692
DB06290,Simeprevir,approved,no,binder,P02768,Details,118984465
DB00493,Cefotaxime,approved,unknown,,P02768,Details,5742673
DB09280,Lumacaftor,approved,no,carrier,P02768,Details,16678941
DB09130,Copper,"approved, investigational",no,binder,P02768,Details,23978
DB11093,Calcium citrate,"approved, investigational",no,substrate,P02768,Details,13136
DB11348,Calcium Phosphate,approved,no,substrate,P02768,Details,24456
DB11575,Grazoprevir,approved,no,substrate,P02768,Details,44603531
DB11943,Delafloxacin,"approved, investigational",no,substrate,P02768,Details,487101
DB01685,Topiroxostat,experimental,unknown,binder,P02768,Details,5288320
DB09093,Chlortetracycline,"approved, investigational, vet_approved",no,,P02768,Details,54675777
DB06796,Mangafodipir,"approved, investigational, withdrawn",unknown,binder,P02768,Details,131704299
DB09262,Imidafenacin,investigational,no,substrate,P02768,Details,6433090
DB00276,Amsacrine,"approved, investigational",unknown,,P02768,Details,2179
DB11359,Guaiacol,approved,unknown,,P02768,Details,460
DB03255,Phenol,"approved, experimental",unknown,,P02768,Details,996
DB06728,Aniline,experimental,unknown,,P02768,Details,6115
